Transaction_ID,Cardholder_Name,Age,Gender,Transaction_Amount,Merchant_Name,Merchant_Category,City,Transaction_Time,International_Transaction,Card_Present,Failed_Attempts,Fraud
TXN1000,Marie Harris,56,Male,3984.75,Smith Group,Grocery,Chennai,2025-08-09 17:33:16,1,0,4,1
TXN1001,Philip Davis,38,Male,788.53,Solomon Group,Travel,Chennai,2025-10-04 17:30:16,0,0,4,1
TXN1002,Riley Kim,53,Female,722.91,Ayers Group,Grocery,Delhi,2025-12-27 05:48:16,0,0,1,0
TXN1003,Jeffrey Barrett,41,Male,4163.89,Smith-Richard,Online Shopping,Pune,2025-07-18 01:41:16,0,0,4,1
TXN1004,Sara Hogan,50,Female,1528.17,"Gonzalez, Phillips and Reese",Food,Gurgaon,2026-04-15 16:16:16,1,0,0,0
TXN1005,Gregory Hensley,44,Male,3063.15,"Brown, Hunt and Reyes",Entertainment,Bangalore,2025-11-18 12:26:16,1,0,5,1
TXN1006,Christina Garcia,64,Male,3095.75,Randall-Moore,Healthcare,Delhi,2025-05-08 04:49:16,0,1,0,0
TXN1007,Brad Watson,20,Male,4301.1,"Stevens, Burns and Tucker",Healthcare,Bangalore,2025-12-23 07:32:16,1,0,1,1
TXN1008,William Mercado,21,Female,4711.59,Wang-Reed,Online Shopping,Delhi,2026-04-23 09:43:16,1,0,0,1
TXN1009,Eric West,43,Female,497.38,Perez Group,Healthcare,Pune,2025-06-01 12:41:16,0,0,3,0
TXN1010,Melissa Andersen,25,Male,181.6,Castro Group,Food,Bangalore,2025-10-13 11:05:16,0,0,1,0
TXN1011,Jessica Shields,57,Male,3779.25,Richards-Sullivan,Entertainment,Bangalore,2026-03-14 18:37:16,1,1,5,1
TXN1012,Brandon Arnold,46,Male,4848.23,Levine-Jensen,Healthcare,Bangalore,2025-10-01 16:07:16,0,1,1,0
TXN1013,Evan Taylor,53,Male,2993.52,Flynn Group,Travel,Pune,2025-07-07 13:33:16,0,0,5,1
TXN1014,Larry Bryant,40,Female,2608.96,"Holt, Ritter and Cox",Entertainment,Bangalore,2025-10-29 20:20:16,0,1,4,1
TXN1015,Dr. Steven Williams,35,Male,2703.06,Lynn-Quinn,Food,Delhi,2025-07-31 15:00:16,1,1,4,1
TXN1016,Amanda Lewis,32,Female,834.68,Alvarez Group,Electronics,Mumbai,2025-05-27 21:32:16,1,0,0,0
TXN1017,Crystal Hull,61,Female,1474.51,"Todd, Wallace and Mcclain",Entertainment,Chennai,2026-03-05 16:50:16,1,0,0,0
TXN1018,Michelle Wood,25,Female,3647.75,"Haney, Reynolds and Wilson",Travel,Mumbai,2025-07-22 22:59:16,1,1,1,1
TXN1019,Justin Collier,58,Female,4575.65,Hale-Larson,Healthcare,Mumbai,2025-10-18 20:29:16,0,1,1,0
TXN1020,Travis Wolfe,50,Male,327.16,Phillips and Sons,Grocery,Delhi,2026-03-06 04:04:16,0,0,2,0
TXN1021,Eric Thomas,61,Female,3191.41,Acosta-Johnson,Electronics,Gurgaon,2026-04-03 03:06:16,1,1,4,1
TXN1022,Karen Taylor,64,Female,3569.09,Mitchell-Smith,Online Shopping,Delhi,2025-08-23 23:15:16,0,1,5,1
TXN1023,Robert Norman,56,Female,211.76,Harvey-Norton,Electronics,Bangalore,2025-10-12 13:15:16,1,0,1,0
TXN1024,Anthony Lambert,30,Female,1016.58,Taylor PLC,Grocery,Chennai,2025-05-20 20:52:16,1,0,3,0
TXN1025,Matthew Gonzalez,49,Male,3480.63,Green Group,Fashion,Chennai,2025-09-18 15:26:16,0,0,2,0
TXN1026,Richard Thomas,46,Female,1151.7,Hull-Kelley,Travel,Pune,2025-11-28 20:42:16,0,1,2,0
TXN1027,Debra Dorsey,39,Female,4403.53,Smith Ltd,Grocery,Delhi,2025-11-18 14:44:16,1,1,4,1
